Fecha,Total de operaciones enviadas
04/11/2021,7245
05/11/2021,7402
06/11/2021,4488
07/11/2021,3191
08/11/2021,6648
09/11/2021,6798
10/11/2021,6862
11/11/2021,7214
12/11/2021,9083
13/11/2021,5646
14/11/2021,3976
15/11/2021,4589
16/11/2021,7575
17/11/2021,6068
18/11/2021,7006
19/11/2021,8002
20/11/2021,4497
21/11/2021,3437
22/11/2021,6378
23/11/2021,6165
24/11/2021,6534
25/11/2021,6944
26/11/2021,8364
27/11/2021,4717
28/11/2021,3580
29/11/2021,8594
30/11/2021,9272
01/12/2021,8269
02/12/2021,8838
03/12/2021,9120
04/12/2021,7033
05/12/2021,3538
06/12/2021,7948
07/12/2021,7440
08/12/2021,7538
09/12/2021,8200
10/12/2021,8940
11/12/2021,5259
12/12/2021,4017
13/12/2021,7816
14/12/2021,8893
15/12/2021,9416
16/12/2021,8737
17/12/2021,9322
18/12/2021,5523
19/12/2021,4169
20/12/2021,8065
21/12/2021,7928
22/12/2021,7605
23/12/2021,8146
24/12/2021,6227
25/12/2021,2489
26/12/2021,3170
27/12/2021,6747
28/12/2021,6772
29/12/2021,7459
30/12/2021,8141
31/12/2021,6799
01/01/2022,2894
02/01/2022,3755
03/01/2022,7638
04/01/2022,7142
05/01/2022,7118
06/01/2022,7524
07/01/2022,7870
08/01/2022,4463
09/01/2022,3416
10/01/2022,6879
11/01/2022,6444
12/01/2022,6511
13/01/2022,7602
14/01/2022,9686
15/01/2022,5482
16/01/2022,3592
17/01/2022,7042
18/01/2022,6992
19/01/2022,6542
20/01/2022,7069
21/01/2022,7705
22/01/2022,4481
23/01/2022,3423
24/01/2022,6956
25/01/2022,7231
26/01/2022,6911
27/01/2022,7012
28/01/2022,9699
29/01/2022,5257
30/01/2022,4010
31/01/2022,9085
01/02/2022,8463
02/02/2022,7783
03/02/2022,7903
04/02/2022,8852
05/02/2022,4665
06/02/2022,3517
07/02/2022,4106
08/02/2022,8101
09/02/2022,6875
10/02/2022,7593
11/02/2022,8728
12/02/2022,5128
13/02/2022,4001
14/02/2022,8957
15/02/2022,9517
16/02/2022,8188
17/02/2022,8331
18/02/2022,8781
19/02/2022,5344
20/02/2022,3925
21/02/2022,7810
22/02/2022,7612
23/02/2022,7347
24/02/2022,7795
25/02/2022,9765
26/02/2022,5613
27/02/2022,4157
28/02/2022,9549
01/03/2022,9286
02/03/2022,8488
03/03/2022,8793
04/03/2022,9456
05/03/2022,5524
06/03/2022,3398
07/03/2022,8090
08/03/2022,7419
09/03/2022,7481
10/03/2022,8041
11/03/2022,8886
12/03/2022,5281
13/03/2022,4089
14/03/2022,8665
15/03/2022,9795
16/03/2022,8784
17/03/2022,8390
18/03/2022,9185
19/03/2022,5112
20/03/2022,3753
21/03/2022,4506
22/03/2022,8561
23/03/2022,7687
24/03/2022,7950
25/03/2022,8845
26/03/2022,5057
27/03/2022,3767
28/03/2022,7772
29/03/2022,8491
30/03/2022,9637
31/03/2022,10388
01/04/2022,10126
02/04/2022,5583
03/04/2022,4148
04/04/2022,8430
05/04/2022,8214
06/04/2022,8082
07/04/2022,8444
08/04/2022,9533
09/04/2022,5080
10/04/2022,3628
11/04/2022,7674
12/04/2022,7872
13/04/2022,10672
14/04/2022,6416
15/04/2022,4737
16/04/2022,4423
17/04/2022,3973
18/04/2022,7881
19/04/2022,7500
20/04/2022,7727
21/04/2022,8366
22/04/2022,9438
23/04/2022,5129
24/04/2022,3760
25/04/2022,7943
26/04/2022,7655
27/04/2022,7834
28/04/2022,8651
29/04/2022,11136
30/04/2022,6378
01/05/2022,4883
02/05/2022,9048
03/05/2022,8505
04/05/2022,8398
05/05/2022,8496
06/05/2022,9623
07/05/2022,5154
08/05/2022,4016
09/05/2022,8276
10/05/2022,7771
11/05/2022,7881
12/05/2022,8674
13/05/2022,11125
14/05/2022,6200
15/05/2022,4678
16/05/2022,8896
17/05/2022,8233
18/05/2022,8380
19/05/2022,8678
20/05/2022,8190
21/05/2022,5405
22/05/2022,3841
23/05/2022,6843
24/05/2022,7938
25/05/2022,7552
26/05/2022,6850
27/05/2022,9407
28/05/2022,5758
29/05/2022,4311
30/05/2022,9003
31/05/2022,9849
01/06/2022,9150
02/06/2022,9068
03/06/2022,9962
04/06/2022,5631
05/06/2022,3439
06/06/2022,8176
07/06/2022,7788
08/06/2022,7825
09/06/2022,8020
10/06/2022,9603
11/06/2022,5362
12/06/2022,3899
13/06/2022,8139
14/06/2022,9052
15/06/2022,9565
16/06/2022,9551
17/06/2022,9902
18/06/2022,5676
19/06/2022,4003
20/06/2022,8006
21/06/2022,7778
22/06/2022,7833
23/06/2022,8375
24/06/2022,9971
25/06/2022,5029
26/06/2022,3657
27/06/2022,7861
28/06/2022,8223
29/06/2022,9092
30/06/2022,10555
01/07/2022,11093
02/07/2022,6085
03/07/2022,4477
04/07/2022,8681
05/07/2022,8646
06/07/2022,8205
07/07/2022,9004
08/07/2022,10188
09/07/2022,5690
10/07/2022,4276
11/07/2022,8132
12/07/2022,7996
13/07/2022,8379
14/07/2022,9965
15/07/2022,12299
16/07/2022,6494
17/07/2022,4473
18/07/2022,8491
19/07/2022,8517
20/07/2022,8612
21/07/2022,9127
22/07/2022,10437
23/07/2022,5613
24/07/2022,4146
25/07/2022,8446
26/07/2022,8503
27/07/2022,8331
28/07/2022,10132
29/07/2022,12935
30/07/2022,7255
31/07/2022,5200
01/08/2022,9860
02/08/2022,9348
03/08/2022,9292
04/08/2022,9601
05/08/2022,11070
06/08/2022,6106
07/08/2022,4675
08/08/2022,8852
09/08/2022,8668
10/08/2022,8520
11/08/2022,9046
12/08/2022,11866
13/08/2022,6471
14/08/2022,4635
15/08/2022,10409
16/08/2022,9643
17/08/2022,8969
18/08/2022,9385
19/08/2022,11436
20/08/2022,6390
21/08/2022,4682
22/08/2022,8823
23/08/2022,8406
24/08/2022,8600
25/08/2022,9404
26/08/2022,11295
27/08/2022,6404
28/08/2022,4167
29/08/2022,9549
30/08/2022,10208
31/08/2022,11028
01/09/2022,10785
02/09/2022,12302
03/09/2022,6895
04/09/2022,4014
05/09/2022,9510
06/09/2022,9049
07/09/2022,9059
08/09/2022,9885
09/09/2022,12141
10/09/2022,6491
11/09/2022,4722
12/09/2022,8924
13/09/2022,9056
14/09/2022,10735
15/09/2022,14042
16/09/2022,6157
17/09/2022,6405
18/09/2022,5037
19/09/2022,9186
20/09/2022,9307
21/09/2022,9104
22/09/2022,10146
23/09/2022,12180
24/09/2022,6341
25/09/2022,4836
26/09/2022,9404
27/09/2022,8796
28/09/2022,9505
29/09/2022,11435
30/09/2022,14141
01/10/2022,7854
02/10/2022,5691
03/10/2022,10394
04/10/2022,9493
05/10/2022,9438
06/10/2022,10417
07/10/2022,12678
08/10/2022,6954
09/10/2022,5087
10/10/2022,9735
11/10/2022,9681
12/10/2022,9518
13/10/2022,11244
14/10/2022,15180
15/10/2022,8719
16/10/2022,6029
17/10/2022,10907
18/10/2022,9902
19/10/2022,9984
20/10/2022,11021
21/10/2022,12659
22/10/2022,6730
23/10/2022,5161
24/10/2022,9675
25/10/2022,9407
26/10/2022,9741
27/10/2022,10450
28/10/2022,14478
29/10/2022,7637
30/10/2022,5762
31/10/2022,11488
01/11/2022,10964
02/11/2022,7357
03/11/2022,11123
04/11/2022,13283
05/11/2022,7627
06/11/2022,5454
07/11/2022,10392
08/11/2022,9804
09/11/2022,10453
10/11/2022,11182
11/11/2022,13206
12/11/2022,7583
13/11/2022,5294
14/11/2022,11123
15/11/2022,12387
16/11/2022,11161
17/11/2022,11702
18/11/2022,13780
19/11/2022,7404
20/11/2022,5170
21/11/2022,5781
22/11/2022,10918
23/11/2022,10059
24/11/2022,11030
25/11/2022,13059
26/11/2022,7014
27/11/2022,5281
28/11/2022,11068
29/11/2022,12152
30/11/2022,13321
01/12/2022,13232
02/12/2022,15210
03/12/2022,7955
04/12/2022,6196
05/12/2022,11900
06/12/2022,11100
07/12/2022,11029
08/12/2022,12482
09/12/2022,13860
10/12/2022,8059
11/12/2022,5790
12/12/2022,8103
