FOLIO,FECHA,ANIO,MES,K_GRUPO,GRUPO,K_EMPRESA,EMPRESA,CONCESIONARIO,L_PREPAGO_E,L_POSPAGO_E,L_POSPAGOC_E,L_POSPAGOL_E,L_NO_ESPECIFICADO_E,L_TOTAL_E
107353,15NOV2020,2020,11,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","124,223",,,,,"124,223"
107353,15DEC2020,2020,12,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","124,521",,,,,"124,521"
107353,15JAN2021,2021,01,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",,,,,"173,496","173,496"
107353,15FEB2021,2021,02,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",,,,,"175,701","175,701"
107353,15MAR2021,2021,03,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",,,,,"176,942","176,942"
107353,15APR2021,2021,04,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",,,,,"177,667","177,667"
107353,15MAY2021,2021,05,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",,,,,"178,899","178,899"
107353,15JUN2021,2021,06,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",,,,,"179,953","179,953"
107353,15JUL2021,2021,07,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",,,,,"181,142","181,142"
107353,15AUG2021,2021,08,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",,,,,"181,775","181,775"
107353,15SEP2021,2021,09,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",,,,,"183,140","183,140"
107353,15OCT2021,2021,10,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",,,,,"184,889","184,889"
107353,15NOV2021,2021,11,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",,,,,"186,784","186,784"
107353,15DEC2021,2021,12,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",,,,,"188,191","188,191"
107353,15JAN2022,2022,01,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",,,,,"188,640","188,640"
107353,15FEB2022,2022,02,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",,,,,"189,438","189,438"
107353,15MAR2022,2022,03,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",,,,,"191,054","191,054"
107353,15APR2022,2022,04,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",,,,,"192,021","192,021"
107353,15MAY2022,2022,05,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",,,,,"193,085","193,085"
107353,15JUN2022,2022,06,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",,,,,"194,125","194,125"
107353,15JUL2022,2022,07,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",,,,,"195,587","195,587"
